Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n895-k37.vrp;1;56649;5.6051
./Instances/CVRP/X-n895-k37.vrp;1;56649;5.66553
./Instances/CVRP/X-n895-k37.vrp;1;56169;6.45264
./Instances/CVRP/X-n895-k37.vrp;1;55877;8.65641
./Instances/CVRP/X-n895-k37.vrp;1;55768;10.7695
./Instances/CVRP/X-n895-k37.vrp;1;55639;12.9302
./Instances/CVRP/X-n895-k37.vrp;1;55544;15.0723
./Instances/CVRP/X-n895-k37.vrp;1;55457;17.2466
./Instances/CVRP/X-n895-k37.vrp;1;55390;19.4174
./Instances/CVRP/X-n895-k37.vrp;1;55297;21.5528
./Instances/CVRP/X-n895-k37.vrp;1;55227;23.673
./Instances/CVRP/X-n895-k37.vrp;1;55217;25.8261
./Instances/CVRP/X-n895-k37.vrp;1;55119;27.9802
./Instances/CVRP/X-n895-k37.vrp;1;55119;30.1464
./Instances/CVRP/X-n895-k37.vrp;1;55102;32.2551
./Instances/CVRP/X-n895-k37.vrp;1;55024;34.4272
./Instances/CVRP/X-n895-k37.vrp;1;55024;36.6136
./Instances/CVRP/X-n895-k37.vrp;1;55005;38.7159
./Instances/CVRP/X-n895-k37.vrp;1;54991;40.9056
./Instances/CVRP/X-n895-k37.vrp;1;54959;43.0237
./Instances/CVRP/X-n895-k37.vrp;1;54959;45.1856
./Instances/CVRP/X-n895-k37.vrp;1;54937;47.3011
./Instances/CVRP/X-n895-k37.vrp;1;54903;49.4767
./Instances/CVRP/X-n895-k37.vrp;1;54875;51.6442
./Instances/CVRP/X-n895-k37.vrp;1;54794;53.7685
./Instances/CVRP/X-n895-k37.vrp;1;54777;55.903
./Instances/CVRP/X-n895-k37.vrp;1;54665;58.0524
./Instances/CVRP/X-n895-k37.vrp;1;54637;60.2168
./Instances/CVRP/X-n895-k37.vrp;1;54637;62.3646
./Instances/CVRP/X-n895-k37.vrp;1;54637;64.5387
./Instances/CVRP/X-n895-k37.vrp;1;54605;66.6601
./Instances/CVRP/X-n895-k37.vrp;1;54597;68.815
./Instances/CVRP/X-n895-k37.vrp;1;54545;70.9887
./Instances/CVRP/X-n895-k37.vrp;1;54545;73.1219
./Instances/CVRP/X-n895-k37.vrp;1;54545;75.2949
./Instances/CVRP/X-n895-k37.vrp;1;54545;77.435
./Instances/CVRP/X-n895-k37.vrp;1;54522;79.5802
./Instances/CVRP/X-n895-k37.vrp;1;54504;81.7479
./Instances/CVRP/X-n895-k37.vrp;1;54493;83.8565
./Instances/CVRP/X-n895-k37.vrp;1;54493;86.0308
./Instances/CVRP/X-n895-k37.vrp;1;54490;88.1554
./Instances/CVRP/X-n895-k37.vrp;1;54466;90.312
./Instances/CVRP/X-n895-k37.vrp;1;54466;92.4874
./Instances/CVRP/X-n895-k37.vrp;1;54454;94.6255
./Instances/CVRP/X-n895-k37.vrp;1;54415;96.7642
./Instances/CVRP/X-n895-k37.vrp;1;54415;98.9023
./Instances/CVRP/X-n895-k37.vrp;1;54415;101.07
./Instances/CVRP/X-n895-k37.vrp;1;54414;103.236
./Instances/CVRP/X-n895-k37.vrp;1;54408;105.426
./Instances/CVRP/X-n895-k37.vrp;1;54406;107.52
./Instances/CVRP/X-n895-k37.vrp;1;54406;109.691
./Instances/CVRP/X-n895-k37.vrp;1;54403;111.836
./Instances/CVRP/X-n895-k37.vrp;1;54403;113.952
./Instances/CVRP/X-n895-k37.vrp;1;54394;116.134
./Instances/CVRP/X-n895-k37.vrp;1;54394;118.267
./Instances/CVRP/X-n895-k37.vrp;1;54389;120.406
./Instances/CVRP/X-n895-k37.vrp;1;54388;122.568
./Instances/CVRP/X-n895-k37.vrp;1;54376;124.734
./Instances/CVRP/X-n895-k37.vrp;1;54376;126.864
./Instances/CVRP/X-n895-k37.vrp;1;54376;129.036
./Instances/CVRP/X-n895-k37.vrp;1;54370;131.203
./Instances/CVRP/X-n895-k37.vrp;1;54370;133.325
./Instances/CVRP/X-n895-k37.vrp;1;54369;135.498
./Instances/CVRP/X-n895-k37.vrp;1;54369;137.641
./Instances/CVRP/X-n895-k37.vrp;1;54369;139.784
./Instances/CVRP/X-n895-k37.vrp;1;54366;141.945
./Instances/CVRP/X-n895-k37.vrp;1;54366;144.05
./Instances/CVRP/X-n895-k37.vrp;1;54362;146.25
./Instances/CVRP/X-n895-k37.vrp;1;54362;148.407
./Instances/CVRP/X-n895-k37.vrp;1;54357;150.538
./Instances/CVRP/X-n895-k37.vrp;1;54357;152.659
./Instances/CVRP/X-n895-k37.vrp;1;54357;154.832
./Instances/CVRP/X-n895-k37.vrp;1;54354;157.001
./Instances/CVRP/X-n895-k37.vrp;1;54354;159.143
./Instances/CVRP/X-n895-k37.vrp;1;54354;161.282
./Instances/CVRP/X-n895-k37.vrp;1;54349;163.402
./Instances/CVRP/X-n895-k37.vrp;1;54347;165.579
./Instances/CVRP/X-n895-k37.vrp;1;54328;167.736
./Instances/CVRP/X-n895-k37.vrp;1;54323;169.851
./Instances/CVRP/X-n895-k37.vrp;1;54321;172.048
./Instances/CVRP/X-n895-k37.vrp;1;54321;174.158
./Instances/CVRP/X-n895-k37.vrp;1;54321;176.316
./Instances/CVRP/X-n895-k37.vrp;1;54321;178.471
./Instances/CVRP/X-n895-k37.vrp;1;54321;180.61
./Instances/CVRP/X-n895-k37.vrp;1;54321;182.791
./Instances/CVRP/X-n895-k37.vrp;1;54321;184.942
./Instances/CVRP/X-n895-k37.vrp;1;54321;187.091
./Instances/CVRP/X-n895-k37.vrp;1;54316;189.229
./Instances/CVRP/X-n895-k37.vrp;1;54316;191.356
./Instances/CVRP/X-n895-k37.vrp;1;54316;193.512
./Instances/CVRP/X-n895-k37.vrp;1;54314;195.661
./Instances/CVRP/X-n895-k37.vrp;1;54311;197.867
./Instances/CVRP/X-n895-k37.vrp;1;54311;200.001
./Instances/CVRP/X-n895-k37.vrp;1;54308;202.125
./Instances/CVRP/X-n895-k37.vrp;1;54308;204.29
./Instances/CVRP/X-n895-k37.vrp;1;54308;206.416
./Instances/CVRP/X-n895-k37.vrp;1;54308;208.556
./Instances/CVRP/X-n895-k37.vrp;1;54308;210.708
./Instances/CVRP/X-n895-k37.vrp;1;54308;212.898
./Instances/CVRP/X-n895-k37.vrp;1;54308;215.051
