Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n641-k35.vrp;5;66204;4.05155
./Instances/CVRP/X-n641-k35.vrp;5;66204;4.08249
./Instances/CVRP/X-n641-k35.vrp;5;66204;4.63682
./Instances/CVRP/X-n641-k35.vrp;5;65788;6.17668
./Instances/CVRP/X-n641-k35.vrp;5;65748;7.70751
./Instances/CVRP/X-n641-k35.vrp;5;65719;9.25044
./Instances/CVRP/X-n641-k35.vrp;5;65717;10.782
./Instances/CVRP/X-n641-k35.vrp;5;65673;12.3273
./Instances/CVRP/X-n641-k35.vrp;5;65659;13.8659
./Instances/CVRP/X-n641-k35.vrp;5;65612;15.414
./Instances/CVRP/X-n641-k35.vrp;5;65547;16.9699
./Instances/CVRP/X-n641-k35.vrp;5;65442;18.5037
./Instances/CVRP/X-n641-k35.vrp;5;65442;20.0347
./Instances/CVRP/X-n641-k35.vrp;5;65382;21.5627
./Instances/CVRP/X-n641-k35.vrp;5;65351;23.1234
./Instances/CVRP/X-n641-k35.vrp;5;65351;24.6661
./Instances/CVRP/X-n641-k35.vrp;5;65351;26.2027
./Instances/CVRP/X-n641-k35.vrp;5;65311;27.7212
./Instances/CVRP/X-n641-k35.vrp;5;64997;29.2826
./Instances/CVRP/X-n641-k35.vrp;5;64997;30.8008
./Instances/CVRP/X-n641-k35.vrp;5;64997;32.3653
./Instances/CVRP/X-n641-k35.vrp;5;64997;33.8815
./Instances/CVRP/X-n641-k35.vrp;5;64997;35.4456
./Instances/CVRP/X-n641-k35.vrp;5;64950;36.9664
./Instances/CVRP/X-n641-k35.vrp;5;64950;38.5237
./Instances/CVRP/X-n641-k35.vrp;5;64904;40.0794
./Instances/CVRP/X-n641-k35.vrp;5;64904;41.5874
./Instances/CVRP/X-n641-k35.vrp;5;64904;43.137
./Instances/CVRP/X-n641-k35.vrp;5;64764;44.6827
./Instances/CVRP/X-n641-k35.vrp;5;64764;46.2221
./Instances/CVRP/X-n641-k35.vrp;5;64764;47.7417
./Instances/CVRP/X-n641-k35.vrp;5;64764;49.2984
./Instances/CVRP/X-n641-k35.vrp;5;64764;50.8228
./Instances/CVRP/X-n641-k35.vrp;5;64743;52.3674
./Instances/CVRP/X-n641-k35.vrp;5;64743;53.9173
./Instances/CVRP/X-n641-k35.vrp;5;64673;55.4439
./Instances/CVRP/X-n641-k35.vrp;5;64673;56.9877
./Instances/CVRP/X-n641-k35.vrp;5;64637;58.5313
./Instances/CVRP/X-n641-k35.vrp;5;64637;60.0677
./Instances/CVRP/X-n641-k35.vrp;5;64620;61.6031
./Instances/CVRP/X-n641-k35.vrp;5;64526;63.149
./Instances/CVRP/X-n641-k35.vrp;5;64526;64.6822
./Instances/CVRP/X-n641-k35.vrp;5;64503;66.2465
./Instances/CVRP/X-n641-k35.vrp;5;64449;67.7733
./Instances/CVRP/X-n641-k35.vrp;5;64448;69.3078
./Instances/CVRP/X-n641-k35.vrp;5;64448;70.8401
./Instances/CVRP/X-n641-k35.vrp;5;64448;72.3946
./Instances/CVRP/X-n641-k35.vrp;5;64448;73.9295
./Instances/CVRP/X-n641-k35.vrp;5;64375;75.4873
./Instances/CVRP/X-n641-k35.vrp;5;64375;77.0038
./Instances/CVRP/X-n641-k35.vrp;5;64375;78.5445
./Instances/CVRP/X-n641-k35.vrp;5;64375;80.0833
./Instances/CVRP/X-n641-k35.vrp;5;64334;81.6331
./Instances/CVRP/X-n641-k35.vrp;5;64321;83.1703
./Instances/CVRP/X-n641-k35.vrp;5;64321;84.7118
./Instances/CVRP/X-n641-k35.vrp;5;64321;86.2509
./Instances/CVRP/X-n641-k35.vrp;5;64321;87.7839
./Instances/CVRP/X-n641-k35.vrp;5;64321;89.3314
./Instances/CVRP/X-n641-k35.vrp;5;64307;90.8681
./Instances/CVRP/X-n641-k35.vrp;5;64307;92.4122
./Instances/CVRP/X-n641-k35.vrp;5;64269;93.9563
./Instances/CVRP/X-n641-k35.vrp;5;64269;95.4898
./Instances/CVRP/X-n641-k35.vrp;5;64269;97.0317
./Instances/CVRP/X-n641-k35.vrp;5;64269;98.5717
./Instances/CVRP/X-n641-k35.vrp;5;64269;100.114
./Instances/CVRP/X-n641-k35.vrp;5;64269;101.647
./Instances/CVRP/X-n641-k35.vrp;5;64269;103.195
./Instances/CVRP/X-n641-k35.vrp;5;64269;104.73
./Instances/CVRP/X-n641-k35.vrp;5;64269;106.264
./Instances/CVRP/X-n641-k35.vrp;5;64269;107.813
./Instances/CVRP/X-n641-k35.vrp;5;64269;109.348
./Instances/CVRP/X-n641-k35.vrp;5;64269;110.895
./Instances/CVRP/X-n641-k35.vrp;5;64265;112.434
./Instances/CVRP/X-n641-k35.vrp;5;64265;113.975
./Instances/CVRP/X-n641-k35.vrp;5;64201;115.501
./Instances/CVRP/X-n641-k35.vrp;5;64201;117.05
./Instances/CVRP/X-n641-k35.vrp;5;64201;118.593
