Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n548-k50.vrp;2;88269;1.76939
./Instances/CVRP/X-n548-k50.vrp;2;87935;2.64837
./Instances/CVRP/X-n548-k50.vrp;2;87685;3.97415
./Instances/CVRP/X-n548-k50.vrp;2;87591;5.28293
./Instances/CVRP/X-n548-k50.vrp;2;87591;6.60433
./Instances/CVRP/X-n548-k50.vrp;2;87578;7.92717
./Instances/CVRP/X-n548-k50.vrp;2;87541;9.24147
./Instances/CVRP/X-n548-k50.vrp;2;87541;10.568
./Instances/CVRP/X-n548-k50.vrp;2;87541;11.886
./Instances/CVRP/X-n548-k50.vrp;2;87387;13.2161
./Instances/CVRP/X-n548-k50.vrp;2;87387;14.5313
./Instances/CVRP/X-n548-k50.vrp;2;87387;15.8467
./Instances/CVRP/X-n548-k50.vrp;2;87387;17.1749
./Instances/CVRP/X-n548-k50.vrp;2;87349;18.4905
./Instances/CVRP/X-n548-k50.vrp;2;87349;19.8029
./Instances/CVRP/X-n548-k50.vrp;2;87349;21.1257
./Instances/CVRP/X-n548-k50.vrp;2;87349;22.4461
./Instances/CVRP/X-n548-k50.vrp;2;87349;23.7621
./Instances/CVRP/X-n548-k50.vrp;2;87346;25.0884
./Instances/CVRP/X-n548-k50.vrp;2;87318;26.4166
./Instances/CVRP/X-n548-k50.vrp;2;87306;27.7341
./Instances/CVRP/X-n548-k50.vrp;2;87279;29.051
./Instances/CVRP/X-n548-k50.vrp;2;87266;30.3691
./Instances/CVRP/X-n548-k50.vrp;2;87266;31.6842
./Instances/CVRP/X-n548-k50.vrp;2;87266;33.0157
./Instances/CVRP/X-n548-k50.vrp;2;87266;34.3228
./Instances/CVRP/X-n548-k50.vrp;2;87258;35.6498
./Instances/CVRP/X-n548-k50.vrp;2;87243;36.9674
./Instances/CVRP/X-n548-k50.vrp;2;87209;38.2926
./Instances/CVRP/X-n548-k50.vrp;2;87209;39.6147
./Instances/CVRP/X-n548-k50.vrp;2;87209;40.931
./Instances/CVRP/X-n548-k50.vrp;2;87209;42.2546
./Instances/CVRP/X-n548-k50.vrp;2;87180;43.5717
./Instances/CVRP/X-n548-k50.vrp;2;87180;44.8913
./Instances/CVRP/X-n548-k50.vrp;2;87180;46.2028
./Instances/CVRP/X-n548-k50.vrp;2;87151;47.5339
./Instances/CVRP/X-n548-k50.vrp;2;87065;48.8524
./Instances/CVRP/X-n548-k50.vrp;2;87065;50.1696
./Instances/CVRP/X-n548-k50.vrp;2;87065;51.496
./Instances/CVRP/X-n548-k50.vrp;2;87065;52.811
./Instances/CVRP/X-n548-k50.vrp;2;87065;54.1266
./Instances/CVRP/X-n548-k50.vrp;2;87065;55.4421
./Instances/CVRP/X-n548-k50.vrp;2;87065;56.7622
./Instances/CVRP/X-n548-k50.vrp;2;87065;58.0856
./Instances/CVRP/X-n548-k50.vrp;2;87065;59.4095
./Instances/CVRP/X-n548-k50.vrp;2;87065;60.7375
./Instances/CVRP/X-n548-k50.vrp;2;87065;62.0497
./Instances/CVRP/X-n548-k50.vrp;2;87023;63.3689
./Instances/CVRP/X-n548-k50.vrp;2;87023;64.6964
./Instances/CVRP/X-n548-k50.vrp;2;87023;66.0026
./Instances/CVRP/X-n548-k50.vrp;2;87015;67.3351
./Instances/CVRP/X-n548-k50.vrp;2;86993;68.6422
./Instances/CVRP/X-n548-k50.vrp;2;86972;69.97
./Instances/CVRP/X-n548-k50.vrp;2;86972;71.2888
./Instances/CVRP/X-n548-k50.vrp;2;86972;72.6043
./Instances/CVRP/X-n548-k50.vrp;2;86954;73.9283
./Instances/CVRP/X-n548-k50.vrp;2;86954;75.2523
./Instances/CVRP/X-n548-k50.vrp;2;86954;76.5732
./Instances/CVRP/X-n548-k50.vrp;2;86946;77.8828
./Instances/CVRP/X-n548-k50.vrp;2;86946;79.2065
./Instances/CVRP/X-n548-k50.vrp;2;86927;80.5247
./Instances/CVRP/X-n548-k50.vrp;2;86905;81.851
./Instances/CVRP/X-n548-k50.vrp;2;86905;83.1669
./Instances/CVRP/X-n548-k50.vrp;2;86900;84.4931
./Instances/CVRP/X-n548-k50.vrp;2;86886;85.8169
./Instances/CVRP/X-n548-k50.vrp;2;86885;87.1306
./Instances/CVRP/X-n548-k50.vrp;2;86885;88.4464
./Instances/CVRP/X-n548-k50.vrp;2;86885;89.7766
./Instances/CVRP/X-n548-k50.vrp;2;86885;91.091
./Instances/CVRP/X-n548-k50.vrp;2;86881;92.4068
./Instances/CVRP/X-n548-k50.vrp;2;86855;93.7351
./Instances/CVRP/X-n548-k50.vrp;2;86855;95.0457
./Instances/CVRP/X-n548-k50.vrp;2;86855;96.3641
./Instances/CVRP/X-n548-k50.vrp;2;86855;97.6899
./Instances/CVRP/X-n548-k50.vrp;2;86855;99.0141
./Instances/CVRP/X-n548-k50.vrp;2;86855;100.335
./Instances/CVRP/X-n548-k50.vrp;2;86855;101.655
./Instances/CVRP/X-n548-k50.vrp;2;86855;102.974
./Instances/CVRP/X-n548-k50.vrp;2;86855;104.289
./Instances/CVRP/X-n548-k50.vrp;2;86855;105.601
./Instances/CVRP/X-n548-k50.vrp;2;86855;106.924
./Instances/CVRP/X-n548-k50.vrp;2;86855;108.255
./Instances/CVRP/X-n548-k50.vrp;2;86855;109.573
./Instances/CVRP/X-n548-k50.vrp;2;86855;110.893
./Instances/CVRP/X-n548-k50.vrp;2;86855;112.204
./Instances/CVRP/X-n548-k50.vrp;2;86855;113.534
./Instances/CVRP/X-n548-k50.vrp;2;86855;114.841
./Instances/CVRP/X-n548-k50.vrp;2;86855;116.168
./Instances/CVRP/X-n548-k50.vrp;2;86836;117.481
./Instances/CVRP/X-n548-k50.vrp;2;86836;118.815
./Instances/CVRP/X-n548-k50.vrp;2;86832;120.13
./Instances/CVRP/X-n548-k50.vrp;2;86832;121.452
./Instances/CVRP/X-n548-k50.vrp;2;86828;122.77
./Instances/CVRP/X-n548-k50.vrp;2;86824;124.086
./Instances/CVRP/X-n548-k50.vrp;2;86820;125.406
./Instances/CVRP/X-n548-k50.vrp;2;86820;126.728
./Instances/CVRP/X-n548-k50.vrp;2;86820;128.046
./Instances/CVRP/X-n548-k50.vrp;2;86820;129.366
./Instances/CVRP/X-n548-k50.vrp;2;86820;130.682
./Instances/CVRP/X-n548-k50.vrp;2;86820;132.003
