Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n685-k75.vrp;2;70869;2.63323
./Instances/CVRP/X-n685-k75.vrp;2;70180;3.31094
./Instances/CVRP/X-n685-k75.vrp;2;69980;4.96729
./Instances/CVRP/X-n685-k75.vrp;2;69949;6.61648
./Instances/CVRP/X-n685-k75.vrp;2;69851;8.26111
./Instances/CVRP/X-n685-k75.vrp;2;69793;9.9056
./Instances/CVRP/X-n685-k75.vrp;2;69666;11.5528
./Instances/CVRP/X-n685-k75.vrp;2;69523;13.2011
./Instances/CVRP/X-n685-k75.vrp;2;69439;14.8517
./Instances/CVRP/X-n685-k75.vrp;2;69394;16.5037
./Instances/CVRP/X-n685-k75.vrp;2;69370;18.1705
./Instances/CVRP/X-n685-k75.vrp;2;69300;19.8026
./Instances/CVRP/X-n685-k75.vrp;2;69207;21.4586
./Instances/CVRP/X-n685-k75.vrp;2;69188;23.103
./Instances/CVRP/X-n685-k75.vrp;2;69177;24.7525
./Instances/CVRP/X-n685-k75.vrp;2;69106;26.4156
./Instances/CVRP/X-n685-k75.vrp;2;69088;28.0633
./Instances/CVRP/X-n685-k75.vrp;2;69073;29.7015
./Instances/CVRP/X-n685-k75.vrp;2;69068;31.3675
./Instances/CVRP/X-n685-k75.vrp;2;68964;33.0135
./Instances/CVRP/X-n685-k75.vrp;2;68942;34.6584
./Instances/CVRP/X-n685-k75.vrp;2;68915;36.3097
./Instances/CVRP/X-n685-k75.vrp;2;68915;37.9575
./Instances/CVRP/X-n685-k75.vrp;2;68886;39.6139
./Instances/CVRP/X-n685-k75.vrp;2;68885;41.2561
./Instances/CVRP/X-n685-k75.vrp;2;68885;42.9027
./Instances/CVRP/X-n685-k75.vrp;2;68841;44.5623
./Instances/CVRP/X-n685-k75.vrp;2;68819;46.217
./Instances/CVRP/X-n685-k75.vrp;2;68800;47.8583
./Instances/CVRP/X-n685-k75.vrp;2;68800;49.503
./Instances/CVRP/X-n685-k75.vrp;2;68786;51.1559
./Instances/CVRP/X-n685-k75.vrp;2;68786;52.8107
./Instances/CVRP/X-n685-k75.vrp;2;68786;54.458
./Instances/CVRP/X-n685-k75.vrp;2;68748;56.1022
./Instances/CVRP/X-n685-k75.vrp;2;68748;57.7551
./Instances/CVRP/X-n685-k75.vrp;2;68748;59.4085
./Instances/CVRP/X-n685-k75.vrp;2;68744;61.0588
./Instances/CVRP/X-n685-k75.vrp;2;68727;62.711
./Instances/CVRP/X-n685-k75.vrp;2;68727;64.3501
./Instances/CVRP/X-n685-k75.vrp;2;68718;66.0035
./Instances/CVRP/X-n685-k75.vrp;2;68718;67.656
./Instances/CVRP/X-n685-k75.vrp;2;68714;69.3085
./Instances/CVRP/X-n685-k75.vrp;2;68704;70.9592
./Instances/CVRP/X-n685-k75.vrp;2;68689;72.6107
./Instances/CVRP/X-n685-k75.vrp;2;68689;74.2519
./Instances/CVRP/X-n685-k75.vrp;2;68689;75.9035
./Instances/CVRP/X-n685-k75.vrp;2;68686;77.5537
./Instances/CVRP/X-n685-k75.vrp;2;68686;79.209
./Instances/CVRP/X-n685-k75.vrp;2;68685;80.8578
./Instances/CVRP/X-n685-k75.vrp;2;68676;82.5013
./Instances/CVRP/X-n685-k75.vrp;2;68653;84.1638
./Instances/CVRP/X-n685-k75.vrp;2;68652;85.8152
./Instances/CVRP/X-n685-k75.vrp;2;68652;87.453
./Instances/CVRP/X-n685-k75.vrp;2;68652;89.1114
./Instances/CVRP/X-n685-k75.vrp;2;68635;90.7648
./Instances/CVRP/X-n685-k75.vrp;2;68635;92.412
./Instances/CVRP/X-n685-k75.vrp;2;68619;94.0653
