Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n936-k151.vrp;2;1e+30;4.2494
./Instances/CVRP/X-n936-k151.vrp;2;138441;4.51329
./Instances/CVRP/X-n936-k151.vrp;2;137585;6.78587
./Instances/CVRP/X-n936-k151.vrp;2;137585;9.06133
./Instances/CVRP/X-n936-k151.vrp;2;137336;11.2861
./Instances/CVRP/X-n936-k151.vrp;2;136961;13.5639
./Instances/CVRP/X-n936-k151.vrp;2;136260;15.8007
./Instances/CVRP/X-n936-k151.vrp;2;136164;18.0403
./Instances/CVRP/X-n936-k151.vrp;2;135746;20.3021
./Instances/CVRP/X-n936-k151.vrp;2;135680;22.5502
./Instances/CVRP/X-n936-k151.vrp;2;135530;24.8219
./Instances/CVRP/X-n936-k151.vrp;2;135269;27.0555
./Instances/CVRP/X-n936-k151.vrp;2;135247;29.3222
./Instances/CVRP/X-n936-k151.vrp;2;134832;31.5559
./Instances/CVRP/X-n936-k151.vrp;2;134609;33.7904
./Instances/CVRP/X-n936-k151.vrp;2;134547;36.0598
./Instances/CVRP/X-n936-k151.vrp;2;134448;38.274
./Instances/CVRP/X-n936-k151.vrp;2;134363;40.5048
./Instances/CVRP/X-n936-k151.vrp;2;134257;42.7787
./Instances/CVRP/X-n936-k151.vrp;2;134230;45.0481
./Instances/CVRP/X-n936-k151.vrp;2;134171;47.2804
./Instances/CVRP/X-n936-k151.vrp;2;134144;49.5607
./Instances/CVRP/X-n936-k151.vrp;2;134143;51.7932
./Instances/CVRP/X-n936-k151.vrp;2;134129;54.0089
./Instances/CVRP/X-n936-k151.vrp;2;134084;56.2568
./Instances/CVRP/X-n936-k151.vrp;2;134056;58.5022
./Instances/CVRP/X-n936-k151.vrp;2;134051;60.7766
./Instances/CVRP/X-n936-k151.vrp;2;134017;63.0534
./Instances/CVRP/X-n936-k151.vrp;2;134013;65.3122
./Instances/CVRP/X-n936-k151.vrp;2;133996;67.5151
./Instances/CVRP/X-n936-k151.vrp;2;133977;69.7542
./Instances/CVRP/X-n936-k151.vrp;2;133971;72.0259
./Instances/CVRP/X-n936-k151.vrp;2;133953;74.2794
./Instances/CVRP/X-n936-k151.vrp;2;133952;76.5117
./Instances/CVRP/X-n936-k151.vrp;2;133950;78.8099
./Instances/CVRP/X-n936-k151.vrp;2;133936;81.0738
./Instances/CVRP/X-n936-k151.vrp;2;133932;83.251
./Instances/CVRP/X-n936-k151.vrp;2;133920;85.5655
./Instances/CVRP/X-n936-k151.vrp;2;133909;87.789
./Instances/CVRP/X-n936-k151.vrp;2;133909;90.0251
./Instances/CVRP/X-n936-k151.vrp;2;133907;92.2993
./Instances/CVRP/X-n936-k151.vrp;2;133906;94.524
./Instances/CVRP/X-n936-k151.vrp;2;133900;96.7579
./Instances/CVRP/X-n936-k151.vrp;2;133896;99.0295
./Instances/CVRP/X-n936-k151.vrp;2;133896;101.285
./Instances/CVRP/X-n936-k151.vrp;2;133894;103.505
./Instances/CVRP/X-n936-k151.vrp;2;133891;105.777
./Instances/CVRP/X-n936-k151.vrp;2;133890;108.013
./Instances/CVRP/X-n936-k151.vrp;2;133889;110.254
./Instances/CVRP/X-n936-k151.vrp;2;133888;112.54
./Instances/CVRP/X-n936-k151.vrp;2;133886;114.753
./Instances/CVRP/X-n936-k151.vrp;2;133886;117.032
./Instances/CVRP/X-n936-k151.vrp;2;133885;119.252
./Instances/CVRP/X-n936-k151.vrp;2;133884;121.539
./Instances/CVRP/X-n936-k151.vrp;2;133884;123.778
./Instances/CVRP/X-n936-k151.vrp;2;133884;126.025
./Instances/CVRP/X-n936-k151.vrp;2;133876;128.254
./Instances/CVRP/X-n936-k151.vrp;2;133869;130.559
./Instances/CVRP/X-n936-k151.vrp;2;133868;132.759
./Instances/CVRP/X-n936-k151.vrp;2;133868;135.053
./Instances/CVRP/X-n936-k151.vrp;2;133867;137.298
./Instances/CVRP/X-n936-k151.vrp;2;133866;139.524
./Instances/CVRP/X-n936-k151.vrp;2;133866;141.803
./Instances/CVRP/X-n936-k151.vrp;2;133866;144.062
./Instances/CVRP/X-n936-k151.vrp;2;133865;146.28
./Instances/CVRP/X-n936-k151.vrp;2;133865;148.508
./Instances/CVRP/X-n936-k151.vrp;2;133865;150.773
./Instances/CVRP/X-n936-k151.vrp;2;133864;153.055
./Instances/CVRP/X-n936-k151.vrp;2;133862;155.252
./Instances/CVRP/X-n936-k151.vrp;2;133862;157.54
./Instances/CVRP/X-n936-k151.vrp;2;133862;159.796
./Instances/CVRP/X-n936-k151.vrp;2;133862;162.04
./Instances/CVRP/X-n936-k151.vrp;2;133853;164.258
./Instances/CVRP/X-n936-k151.vrp;2;133853;166.513
./Instances/CVRP/X-n936-k151.vrp;2;133853;168.815
./Instances/CVRP/X-n936-k151.vrp;2;133853;171.051
./Instances/CVRP/X-n936-k151.vrp;2;133853;173.307
./Instances/CVRP/X-n936-k151.vrp;2;133853;175.533
./Instances/CVRP/X-n936-k151.vrp;2;133853;177.814
./Instances/CVRP/X-n936-k151.vrp;2;133853;180.048
./Instances/CVRP/X-n936-k151.vrp;2;133852;182.284
./Instances/CVRP/X-n936-k151.vrp;2;133852;184.543
./Instances/CVRP/X-n936-k151.vrp;2;133852;186.792
./Instances/CVRP/X-n936-k151.vrp;2;133852;189.042
./Instances/CVRP/X-n936-k151.vrp;2;133852;191.274
./Instances/CVRP/X-n936-k151.vrp;2;133852;193.553
./Instances/CVRP/X-n936-k151.vrp;2;133851;195.775
./Instances/CVRP/X-n936-k151.vrp;2;133850;198.037
./Instances/CVRP/X-n936-k151.vrp;2;133850;200.278
./Instances/CVRP/X-n936-k151.vrp;2;133850;202.516
./Instances/CVRP/X-n936-k151.vrp;2;133850;204.763
./Instances/CVRP/X-n936-k151.vrp;2;133757;207.008
./Instances/CVRP/X-n936-k151.vrp;2;133757;209.273
./Instances/CVRP/X-n936-k151.vrp;2;133757;211.567
./Instances/CVRP/X-n936-k151.vrp;2;133757;213.753
./Instances/CVRP/X-n936-k151.vrp;2;133757;216.058
./Instances/CVRP/X-n936-k151.vrp;2;133757;218.272
./Instances/CVRP/X-n936-k151.vrp;2;133757;220.519
./Instances/CVRP/X-n936-k151.vrp;2;133757;222.805
./Instances/CVRP/X-n936-k151.vrp;2;133757;225.073
