Instance;Seed;Cost;Wall time
./Instances/CVRP/X-n275-k28.vrp;1;21653;0.660428
./Instances/CVRP/X-n275-k28.vrp;1;21528;1.32231
./Instances/CVRP/X-n275-k28.vrp;1;21434;1.98194
./Instances/CVRP/X-n275-k28.vrp;1;21371;2.64208
./Instances/CVRP/X-n275-k28.vrp;1;21340;3.30372
./Instances/CVRP/X-n275-k28.vrp;1;21294;3.96171
./Instances/CVRP/X-n275-k28.vrp;1;21294;4.62077
./Instances/CVRP/X-n275-k28.vrp;1;21279;5.28337
./Instances/CVRP/X-n275-k28.vrp;1;21279;5.94561
./Instances/CVRP/X-n275-k28.vrp;1;21260;6.60319
./Instances/CVRP/X-n275-k28.vrp;1;21260;7.26229
./Instances/CVRP/X-n275-k28.vrp;1;21260;7.92085
./Instances/CVRP/X-n275-k28.vrp;1;21260;8.58455
./Instances/CVRP/X-n275-k28.vrp;1;21260;9.24358
./Instances/CVRP/X-n275-k28.vrp;1;21260;9.90084
./Instances/CVRP/X-n275-k28.vrp;1;21257;10.5604
./Instances/CVRP/X-n275-k28.vrp;1;21257;11.2256
./Instances/CVRP/X-n275-k28.vrp;1;21245;11.8814
./Instances/CVRP/X-n275-k28.vrp;1;21245;12.5406
./Instances/CVRP/X-n275-k28.vrp;1;21245;13.2053
./Instances/CVRP/X-n275-k28.vrp;1;21245;13.8635
./Instances/CVRP/X-n275-k28.vrp;1;21245;14.5268
./Instances/CVRP/X-n275-k28.vrp;1;21245;15.1819
./Instances/CVRP/X-n275-k28.vrp;1;21245;15.8436
./Instances/CVRP/X-n275-k28.vrp;1;21245;16.5027
./Instances/CVRP/X-n275-k28.vrp;1;21245;17.1623
./Instances/CVRP/X-n275-k28.vrp;1;21245;17.8245
./Instances/CVRP/X-n275-k28.vrp;1;21245;18.4828
./Instances/CVRP/X-n275-k28.vrp;1;21245;19.1421
./Instances/CVRP/X-n275-k28.vrp;1;21245;19.8006
./Instances/CVRP/X-n275-k28.vrp;1;21245;20.4608
./Instances/CVRP/X-n275-k28.vrp;1;21245;21.1212
./Instances/CVRP/X-n275-k28.vrp;1;21245;21.7837
./Instances/CVRP/X-n275-k28.vrp;1;21245;22.442
./Instances/CVRP/X-n275-k28.vrp;1;21245;23.1024
./Instances/CVRP/X-n275-k28.vrp;1;21245;23.7656
./Instances/CVRP/X-n275-k28.vrp;1;21245;24.4213
./Instances/CVRP/X-n275-k28.vrp;1;21245;25.0807
./Instances/CVRP/X-n275-k28.vrp;1;21245;25.7411
./Instances/CVRP/X-n275-k28.vrp;1;21245;26.4004
./Instances/CVRP/X-n275-k28.vrp;1;21245;27.0602
./Instances/CVRP/X-n275-k28.vrp;1;21245;27.7211
./Instances/CVRP/X-n275-k28.vrp;1;21245;28.3847
./Instances/CVRP/X-n275-k28.vrp;1;21245;29.0444
./Instances/CVRP/X-n275-k28.vrp;1;21245;29.7006
./Instances/CVRP/X-n275-k28.vrp;1;21245;30.363
./Instances/CVRP/X-n275-k28.vrp;1;21245;31.0214
./Instances/CVRP/X-n275-k28.vrp;1;21245;31.6822
./Instances/CVRP/X-n275-k28.vrp;1;21245;32.3414
./Instances/CVRP/X-n275-k28.vrp;1;21245;33.0036
./Instances/CVRP/X-n275-k28.vrp;1;21245;33.6602
./Instances/CVRP/X-n275-k28.vrp;1;21245;34.3204
./Instances/CVRP/X-n275-k28.vrp;1;21245;34.9802
./Instances/CVRP/X-n275-k28.vrp;1;21245;35.6415
./Instances/CVRP/X-n275-k28.vrp;1;21245;36.3033
./Instances/CVRP/X-n275-k28.vrp;1;21245;36.9604
./Instances/CVRP/X-n275-k28.vrp;1;21245;37.6224
./Instances/CVRP/X-n275-k28.vrp;1;21245;38.2841
./Instances/CVRP/X-n275-k28.vrp;1;21245;38.9413
./Instances/CVRP/X-n275-k28.vrp;1;21245;39.6003
./Instances/CVRP/X-n275-k28.vrp;1;21245;40.2637
./Instances/CVRP/X-n275-k28.vrp;1;21245;40.9249
./Instances/CVRP/X-n275-k28.vrp;1;21245;41.5847
./Instances/CVRP/X-n275-k28.vrp;1;21245;42.2408
./Instances/CVRP/X-n275-k28.vrp;1;21245;42.9015
./Instances/CVRP/X-n275-k28.vrp;1;21245;43.5656
./Instances/CVRP/X-n275-k28.vrp;1;21245;44.2235
./Instances/CVRP/X-n275-k28.vrp;1;21245;44.8842
./Instances/CVRP/X-n275-k28.vrp;1;21245;45.5411
./Instances/CVRP/X-n275-k28.vrp;1;21245;46.2014
./Instances/CVRP/X-n275-k28.vrp;1;21245;46.8618
./Instances/CVRP/X-n275-k28.vrp;1;21245;47.522
./Instances/CVRP/X-n275-k28.vrp;1;21245;48.1805
./Instances/CVRP/X-n275-k28.vrp;1;21245;48.8414
./Instances/CVRP/X-n275-k28.vrp;1;21245;49.5031
./Instances/CVRP/X-n275-k28.vrp;1;21245;50.1618
./Instances/CVRP/X-n275-k28.vrp;1;21245;50.8203
./Instances/CVRP/X-n275-k28.vrp;1;21245;51.4868
./Instances/CVRP/X-n275-k28.vrp;1;21245;52.1452
./Instances/CVRP/X-n275-k28.vrp;1;21245;52.8002
./Instances/CVRP/X-n275-k28.vrp;1;21245;53.461
./Instances/CVRP/X-n275-k28.vrp;1;21245;54.1246
./Instances/CVRP/X-n275-k28.vrp;1;21245;54.7818
./Instances/CVRP/X-n275-k28.vrp;1;21245;55.4471
./Instances/CVRP/X-n275-k28.vrp;1;21245;56.1025
./Instances/CVRP/X-n275-k28.vrp;1;21245;56.7648
./Instances/CVRP/X-n275-k28.vrp;1;21245;57.4254
./Instances/CVRP/X-n275-k28.vrp;1;21245;58.0806
./Instances/CVRP/X-n275-k28.vrp;1;21245;58.7438
./Instances/CVRP/X-n275-k28.vrp;1;21245;59.4042
./Instances/CVRP/X-n275-k28.vrp;1;21245;60.064
./Instances/CVRP/X-n275-k28.vrp;1;21245;60.7257
./Instances/CVRP/X-n275-k28.vrp;1;21245;61.3805
./Instances/CVRP/X-n275-k28.vrp;1;21245;62.0409
./Instances/CVRP/X-n275-k28.vrp;1;21245;62.704
./Instances/CVRP/X-n275-k28.vrp;1;21245;63.3601
./Instances/CVRP/X-n275-k28.vrp;1;21245;64.0222
./Instances/CVRP/X-n275-k28.vrp;1;21245;64.6811
./Instances/CVRP/X-n275-k28.vrp;1;21245;65.3415
./Instances/CVRP/X-n275-k28.vrp;1;21245;66.0023
